"id","chlA.ugml","chlB.ugml","chlA.gml","chlB.gml","chlA.g","chlB.g","chlA.gm2","chlB.gm2","chlA.mmolm2","chlB.mmolm2"
"brit.hc.2.2",3.5167,2.91716,3.5167e-06,2.91716e-06,2.46169e-05,2.042012e-05,0.0645096960167715,0.0535118448637316,0.0721980683112349,0.0589681695964954
"brit.hl.1.5",4.06755,2.6631,4.06755e-06,2.6631e-06,2.847285e-05,1.86417e-05,0.0745167495420047,0.0487874901858152,0.0833977790310178,0.0537620970233895
"paul.hc.3.19",2.78461,0.99704,2.78461e-06,9.9704e-07,1.949227e-05,6.97928e-06,0.0507346954711088,0.0181657470067673,0.0567813404115329,0.020018013826096
"paul.hc.2.18",2.71576333333333,1.17047666666667,2.71576333333333e-06,1.17047666666667e-06,2.0368225e-05,8.778575e-06,0.0523470187612439,0.0225612310460036,0.0585858230587726,0.0248616825305559
"ryan.hl.1.37",3.70445666666667,1.55153333333333,3.70445666666667e-06,1.55153333333333e-06,2.7783425e-05,1.16365e-05,0.0720524507261411,0.0301776452282158,0.0806397810054069,0.0332547028862836
"brit.hc.1.1",2.86250333333333,1.03132666666667,2.86250333333333e-06,1.03132666666667e-06,2.29000266666667e-05,8.25061333333333e-06,0.0592037917959324,0.0213304377800758,0.0662597976474046,0.0235053916714336
"brit.hl.2.6",3.46771,1.70948,3.46771e-06,1.70948e-06,2.774168e-05,1.367584e-05,0.0738989877464038,0.0364300479488545,0.082706391362608,0.0401446306201357
"brit.hl.3.7",3.35271,3.52815,3.35271e-06,3.52815e-06,2.682168e-05,2.82252e-05,0.0721400753093061,0.0759150080688542,0.0807378488313573,0.0836556669298756
"paul.hl.1.21",2.73255333333333,1.85961666666667,2.73255333333333e-06,1.85961666666667e-06,2.18604266666667e-05,1.48769333333333e-05,0.056987556482447,0.038782412234967,0.0637794277427751,0.0427368532678402
"ryan.lc.1.41",4.18423666666667,2.98089333333333,4.18423666666667e-06,2.98089333333333e-06,3.34738933333333e-05,2.38471466666667e-05,0.0870129798111082,0.0619889437657049,0.0973833306970356,0.0683096342200898
"ryan.lc.4.44",4.65328333333333,2.06606666666667,4.65328333333333e-06,2.06606666666667e-06,3.81569233333333e-05,1.69417466666667e-05,0.0978131846535076,0.0434292403657182,0.109470721820134,0.047857494314653
"paul.hc.4.20",2.96761333333333,1.73654666666667,2.96761333333333e-06,1.73654666666667e-06,2.52247133333333e-05,1.47606466666667e-05,0.0654847178954656,0.0383194357909311,0.0732892949104829,0.0422266695217815
"paul.hl.4.24",3.67992333333333,1.82853666666667,3.67992333333333e-06,1.82853666666667e-06,3.12793483333333e-05,1.55425616666667e-05,0.0818188551748191,0.0406554058767111,0.091570161693567,0.0448008263377424
"ryan.hc.3.35",2.78852,1.62352,2.78852e-06,1.62352e-06,2.4538976e-05,1.4286976e-05,0.0634902354463131,0.0369650090556274,0.0710571067434199,0.040734138930904
"ryan.hc.2.34",3.34941333333333,1.11243666666667,3.34941333333333e-06,1.11243666666667e-06,3.014472e-05,1.001193e-05,0.0783794071762871,0.0260320592823713,0.0877207945924355,0.0286864130851392
"ryan.lc.3.43",2.77096333333333,1.54241666666667,2.77096333333333e-06,1.54241666666667e-06,2.493867e-05,1.388175e-05,0.0654386512726319,0.0364254788769352,0.0732377379913284,0.0401395956636971
"ryan.lh.4.48",3.73282333333333,1.85324666666667,3.73282333333333e-06,1.85324666666667e-06,3.359541e-05,1.667922e-05,0.0847940686521959,0.0420979808177688,0.0948999660352944,0.0463904931488301
"brit.lc.1.9",5.11029333333333,1.25208666666667,5.11029333333333e-06,1.25208666666667e-06,5.11029333333333e-05,1.25208666666667e-05,0.140084795321637,0.0343225511695906,0.156780332980758,0.0378222433464364
"brit.lc.2.10",5.10577,1.32917,5.10577e-06,1.32917e-06,5.10577e-05,1.32917e-05,0.114069928507596,0.0296954870420018,0.127664971301492,0.0327233815354797
"brit.lc.3.11",3.72216666666667,1.00438333333333,3.72216666666667e-06,1.00438333333333e-06,3.72216666666667e-05,1.00438333333333e-05,0.0947116200169635,0.0255568278201866,0.105999507579057,0.0281627247404174
"brit.lh.1.13",2.18799,0.60192,2.18799e-06,6.0192e-07,2.18799e-05,6.0192e-06,0.057412490160063,0.0157942797166098,0.0642550057190887,0.0174047403402975
"brit.lh.3.15",4.23629333333333,1.03264666666667,4.23629333333333e-06,1.03264666666667e-06,4.23629333333333e-05,1.03264666666667e-05,0.105748710267931,0.0257775004160426,0.118352016505614,0.0284058981740913
"brit.lh.4.16",3.62380333333333,0.883436666666667,3.62380333333333e-06,8.83436666666667e-07,3.62380333333333e-05,8.83436666666667e-06,0.092443962585034,0.0225366496598639,0.103461586982836,0.0248345947082151
"paul.hl.2.22",0.247096666666667,0.499863333333333,2.47096666666667e-07,4.99863333333333e-07,2.47096666666667e-06,4.99863333333333e-06,0.00642143104643105,0.0129902113652114,0.00718674782199533,0.0143147557111655
"paul.lc.1.25",0.25231,0.12887,2.5231e-07,1.2887e-07,2.5231e-06,1.2887e-06,0.00691449712249931,0.00353165250753631,0.00773857832872527,0.00389175676059408
"paul.lc.2.26",3.89252,1.10074,3.89252e-06,1.10074e-06,3.89252e-05,1.10074e-05,0.0991219760631525,0.0280300483829895,0.110935497155211,0.030888126751286
"paul.lh.1.29",5.55473,1.29028,5.55473e-06,1.29028e-06,5.55473e-05,1.29028e-05,0.138591067864271,0.0321926147704591,0.155108580613839,0.0354751284014448
"paul.lh.2.30",4.86166333333333,1.24451666666667,4.86166333333333e-06,1.24451666666667e-06,4.86166333333333e-05,1.24451666666667e-05,0.124594139757389,0.031894327695199,0.13944347545902,0.0351464265432455
"paul.lh.3.31",3.85096666666667,0.907203333333333,3.85096666666667e-06,9.07203333333333e-07,3.85096666666667e-05,9.07203333333333e-06,0.100810645724258,0.0237487783595113,0.112825425260219,0.0261703178722287
"ryan.hc.1.33",2.37751,1.05863,2.37751e-06,1.05863e-06,2.37751e-05,1.05863e-05,0.0620597755155312,0.0276332550247977,0.0694561622315712,0.0304508744363976
"ryan.hl.2.38",3.51754333333333,3.08066666666667,3.51754333333333e-06,3.08066666666667e-06,3.51754333333333e-05,3.08066666666667e-05,0.0913884991772755,0.080038105135533,0.102280331700009,0.088199174777715
"ryan.hl.4.40",3.25105,2.80094,3.25105e-06,2.80094e-06,3.25105e-05,2.80094e-05,0.0847731421121252,0.0730362451108214,0.0948765454355577,0.0804833714732403
"ryan.lh.1.45",2.92974,1.66431,2.92974e-06,1.66431e-06,2.92974e-05,1.66431e-05,0.0763947848761408,0.0433979139504563,0.0854996417232497,0.0478229737076226
"ryan.lh.3.47",3.50926333333333,1.90301666666667,3.50926333333333e-06,1.90301666666667e-06,3.50926333333333e-05,1.90301666666667e-05,0.0903517851012702,0.0489963096464126,0.101120060325313,0.0539922087192002
