id,abs_649,abs_665,blank_649,blank_665,abs_649_corrected,abs_665_corrected
blk,0.1,0.17,0.1,0.17,0,0
blk,0.102,0.173,0.1,0.17,0.002,0.003
blk,0.099,0.168,0.1,0.17,-0.001,-0.002
paul.lc.1.25,0.11,0.193,0.1,0.17,0.01,0.023
paul.lc.1.25,0.111,0.196,0.1,0.17,0.011,0.026
paul.lc.1.25,0.114,0.193,0.1,0.17,0.014,0.023
brit.lc.2.10,0.272,0.639,0.1,0.17,0.172,0.469
brit.lc.2.10,0.271,0.633,0.1,0.17,0.171,0.463
brit.lc.2.10,0.278,0.642,0.1,0.17,0.178,0.472
paul.lc.2.26,0.233,0.514,0.1,0.17,0.133,0.344
paul.lc.2.26,0.236,0.533,0.1,0.17,0.136,0.363
paul.lc.2.26,0.241,0.537,0.1,0.17,0.141,0.367
brit.lc.3.11,0.218,0.49,0.1,0.17,0.118,0.32
brit.lc.3.11,0.231,0.521,0.1,0.17,0.131,0.351
brit.lc.3.11,0.236,0.524,0.1,0.17,0.136,0.354
brit.lc.1.9,0.274,0.649,0.1,0.17,0.174,0.479
brit.lc.1.9,0.271,0.645,0.1,0.17,0.171,0.475
brit.lc.1.9,0.265,0.618,0.1,0.17,0.165,0.448
paul.lc.3.27,0.283,0.672,0.1,0.17,0.183,0.502
paul.lc.3.27,0.279,0.656,0.1,0.17,0.179,0.486
paul.lc.3.27,0.319,0.692,0.1,0.17,0.219,0.522
paul.lh.1.29,0.285,0.691,0.1,0.17,0.185,0.521
paul.lh.1.29,0.269,0.652,0.1,0.17,0.169,0.482
paul.lh.1.29,0.29,0.688,0.1,0.17,0.19,0.518
brit.lh.3.15,0.247,0.574,0.1,0.17,0.147,0.404
brit.lh.3.15,0.234,0.541,0.1,0.17,0.134,0.371
brit.lh.3.15,0.241,0.557,0.1,0.17,0.141,0.387
brit.lh.4.16,0.226,0.519,0.1,0.17,0.126,0.349
brit.lh.4.16,0.217,0.493,0.1,0.17,0.117,0.323
brit.lh.4.16,0.218,0.492,0.1,0.17,0.118,0.322
paul.lh.2.30,0.268,0.622,0.1,0.17,0.168,0.452
paul.lh.2.30,0.264,0.619,0.1,0.17,0.164,0.449
paul.lh.2.30,0.261,0.605,0.1,0.17,0.161,0.435
paul.lh.3.31,0.23,0.53,0.1,0.17,0.13,0.36
paul.lh.3.31,0.224,0.519,0.1,0.17,0.124,0.349
paul.lh.3.31,0.225,0.516,0.1,0.17,0.125,0.346
brit.lh.1.13,0.177,0.37,0.1,0.17,0.077,0.2
brit.lh.1.13,0.177,0.373,0.1,0.17,0.077,0.203
brit.lh.1.13,0.174,0.37,0.1,0.17,0.074,0.2
